Location,J,I,Ld,Lv,Wa,Wp,Dd,Dv,In,Delta
Taseko BC,-12.5252,7.41139,1.48486,1.23823,0.668484,0.770831,0.948589,1.98058,0.974207,0.188805
Taseko BC,-15.0349,9.81364,3.33894,2.75205,1.64611,2.06667,1.82566,4.11532,2.1616,0.286696
Taseko BC,15.0535,-6.85161,2.10804,2.05607,1.31636,0.561612,1.27832,2.97233,0.976054,0.321457
Taseko BC,9.40828,-0.775127,2.42947,1.86151,1.65593,1.04417,1.24743,3.25554,1.37415,0.335594
Taseko BC,1.19026,0.709021,2.21559,1.67459,1.43052,1.27388,1.25014,2.59907,0.8533,0.24567
Taseko BC,1.61958,-0.266155,1.55091,1.3107,0.937923,0.737175,0.847106,1.94398,0.692129,0.225103
Taseko BC,-3.29031,3.70006,1.6713,1.36745,1.04059,0.908616,0.700888,2.32058,0.828316,0.153984
Taseko BC,14.1242,-6.6001,1.545,1.49045,0.946643,0.875564,1.03697,2.17736,0.924244,0.183021
Taseko BC,-0.882399,0.371716,2.65346,1.93287,1.83049,1.67253,1.69932,3.10311,1.3702,0.489591
Taseko BC,13.9196,-12.1917,2.22289,1.87991,1.65892,0.984979,1.83412,2.42933,0.726944,0.299776
Taseko BC,14.6239,-15.2675,1.37831,1.31985,1.1978,0.639119,0.709547,1.98742,0.665581,0.159206
Taseko BC,3.89241,-3.19105,2.20822,1.72335,1.6118,1.45017,1.25646,2.63236,0.988343,0.223972
Taseko BC,-0.395137,0.472914,2.13355,1.65011,1.48638,1.38537,1.29784,2.69266,1.13408,0.281769
Taseko BC,-0.798585,0.415475,2.13983,1.70088,1.46048,1.47926,0.955455,2.81056,1.03637,0.321798
Taseko BC,10.1889,-7.84957,2.20806,1.34612,1.53622,1.31733,1.2604,2.55733,1.12896,0.152809
Taseko BC,-0.110719,-0.34206,3.04045,2.30451,2.29114,1.95529,2.12062,3.06692,1.63856,0.25249
Taseko BC,11.7615,-6.54348,2.02136,2.23948,1.74795,0.911858,0.893658,3.46153,1.04478,0.326176
Taseko BC,-5.52835,4.92974,2.3011,1.41884,1.19111,1.15335,1.07085,2.66937,0.899932,0.137951
Taseko BC,3.64454,0.355099,3.22523,2.35484,1.62102,1.59577,1.49594,3.51969,1.44739,0.290368
Taseko BC,-7.10808,6.30339,1.33054,1.20554,0.93463,0.753029,0.940457,1.56799,0.79448,0.255248
Taseko BC,11.6503,-10.3339,2.15826,1.463,1.40176,0.864773,1.10149,2.61274,0.957901,0.190281
Taseko BC,7.64814,-12.4271,1.96738,1.67917,1.4534,0.829567,1.37169,2.42923,0.757769,0.158096
Taseko BC,-12.8972,5.77753,1.73869,1.11191,0.913723,0.81393,1.14153,2.18315,0.816621,0.155995
Taseko BC,8.21895,-8.79958,1.96726,1.97085,1.70279,1.15665,1.22361,2.96034,1.14466,0.256933
Taseko BC,-4.55181,3.81407,2.21563,1.60109,1.34918,1.23753,1.11075,2.83343,0.871565,0.235798
Taseko BC,-3.29045,1.18419,2.02567,1.64272,1.21998,0.921426,1.11877,2.43726,0.962791,0.150771
Taseko BC,-3.6919,2.69298,1.98969,1.73136,1.25171,1.13117,1.5492,2.30578,1.30123,0.157453
Taseko BC,-4.41075,0.588422,3.21953,1.99736,1.6409,1.47739,1.39346,3.3868,1.41221,0.272598
Taseko BC,-3.09135,1.78393,2.20775,1.63856,1.32995,0.80319,0.863409,2.30217,0.939884,0.160798
Taseko BC,-1.55399,-1.82575,1.60349,1.00324,0.937859,0.57942,0.999729,1.68039,0.593337,0.138444
Taseko BC,7.52403,-7.02705,1.07674,0.909751,0.688397,0.502249,0.503387,1.74543,0.587386,0.108068
Taseko BC,-4.23242,2.19783,1.91505,1.39658,1.17971,0.818501,0.809209,2.67562,0.852005,0.149615
Taseko BC,-15.8698,8.41542,2.36781,1.97433,1.13122,1.23853,1.30494,3.13526,0.995669,0.115611
